supplierID,name,contactInfo
SUP001,FreshProduce Inc.,1-800-555-0100
SUP002,QualityHarvest,1-800-555-0101
SUP003,DairyDelights Co.,1-800-555-0102
SUP004,ArtisanBakers,1-800-555-0103
SUP005,PrimeMeats Co.,1-800-555-0104
SUP006,GeneralPantry Inc.,1-800-555-0105
SUP007,FarmFresh Direct,1-800-555-0106
SUP008,BakeryGoods Ltd.,1-800-555-0107
SUP009,GlobalFoods International,1-800-555-0108
SUP010,MeatMasters LLC,1-800-555-0109
SUP011,TechGear Solutions,1-800-555-0110
SUP012,OfficePro Supplies,1-800-555-0111
SUP013,BeverageWorld,1-800-555-0112
SUP014,SnackShack Corp.,1-800-555-0113
SUP015,GadgetGalaxy,1-800-555-0114
SUP016,OfficeNeeds Hub,1-800-555-0115
SUP017,HomeGoods Emporium,1-800-555-0116
SUP018,CleanSweep Supplies,1-800-555-0117
SUP019,AuraBeauty,1-800-555-0118
